Listing all pages crawled in BFS order for query: C, for n: 500
URL: http://money.cnn.com/quote/quote.html?symb=C, time: 2013-02-17T20:04:34.966982, size: 45103 bytes, return code: 200, depth: 0
URL: http://finance.yahoo.com/q?s=C, time: 2013-02-17T20:04:35.868956, size: 99024 bytes, return code: 200, depth: 0
URL: http://www.google.com/finance?cid=662713, time: 2013-02-17T20:04:36.406611, size: 183265 bytes, return code: 200, depth: 0
URL: http://www.marketwatch.com/investing/stock/c, time: 2013-02-17T20:04:37.070216, size: 137245 bytes, return code: 200, depth: 0
URL: http://www.cprogramming.com/, time: 2013-02-17T20:04:37.196233, size: 26021 bytes, return code: 200, depth: 0
URL: https://twitter.com/c, time: 2013-02-17T20:04:37.972422, size: 236656 bytes, return code: 200, depth: 0
URL: http://en.wikipedia.org/wiki/C_(programming_language), time: 2013-02-17T20:04:37.976593, size: 188058 bytes, return code: 200, depth: 0
URL: http://www.cminusminus.org/, time: 2013-02-17T20:04:40.030034, size: 9502 bytes, return code: 200, depth: 0
URL: http://www.open-std.org/jtc1/sc22/wg14/, time: 2013-02-17T20:04:43.669927, size: 4986 bytes, return code: 200, depth: 0
URL: http://money.cnn.com/, time: 2013-02-17T20:04:46.658319, size: 93997 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/magazines/moneymag/, time: 2013-02-17T20:04:48.388416, size: 44777 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/magazines/fortune/, time: 2013-02-17T20:04:48.697646, size: 60099 bytes, return code: 200, depth: 1
URL: http://cnn.com, time: 2013-02-17T20:04:49.337301, size: 112546 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/investing/, time: 2013-02-17T20:04:49.481564, size: 52541 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/technology/, time: 2013-02-17T20:04:49.809120, size: 50327 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/data/afterhours/, time: 2013-02-17T20:04:50.199943, size: 51376 bytes, return code: 200, depth: 1
URL: https://twitter.com/intent/user?screen_name=cnnmoney, time: 2013-02-17T20:04:50.992340, size: 11503 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/data/bonds/, time: 2013-02-17T20:04:51.295091, size: 34594 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/video/markets/, time: 2013-02-17T20:04:51.711578, size: 43399 bytes, return code: 200, depth: 1
URL: http://www.google.com/intl/en/options/?tab=ez, time: 2013-02-17T20:04:51.806300, size: 94 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/quote/shareholders/shareholders.html?symb=C, time: 2013-02-17T20:04:52.710238, size: 43259 bytes, return code: 200, depth: 1
URL: http://beta.fool.com/jarrodbailey1/2013/02/15/who-are-you-banking/24519/?logvisit=y&published=2013-02-15&source=eptcnnlnk0000001, time: 2013-02-17T20:04:52.854789, size: 39702 bytes, return code: 200, depth: 1
