Listing all pages crawled in BFS order for query: suel, for n: 500
URL: http://cis.poly.edu/suel/, time: 2013-02-17T20:22:33.402445, size: 17292 bytes, return code: 200, depth: 0
URL: http://biology.ucsd.edu/faculty/suel.html, time: 2013-02-17T20:22:33.479627, size: 25388 bytes, return code: 200, depth: 0
URL: http://en.wikipedia.org/wiki/Suel, time: 2013-02-17T20:22:33.614984, size: 22417 bytes, return code: 200, depth: 0
URL: http://www.sueljewelry.com/, time: 2013-02-17T20:22:33.615030, size: 680 bytes, return code: 200, depth: 0
URL: http://www.canonfire.com/wiki/index.php?title=Suel_Imperium, time: 2013-02-17T20:22:34.512201, size: 36086 bytes, return code: 200, depth: 0
URL: http://www.bloomberg.com/quote/SUEL:IN, time: 2013-02-17T20:22:37.672175, size: 118214 bytes, return code: 200, depth: 0
URL: https://twitter.com/LucienSuel, time: 2013-02-17T20:22:39.877838, size: 211788 bytes, return code: 200, depth: 0
URL: http://en.wikipedia.org/wiki/Suloise, time: 2013-02-17T20:22:39.877918, size: 35708 bytes, return code: 200, depth: 0
URL: http://www.poly.edu/cse/, time: 2013-02-17T20:22:40.129532, size: 21565 bytes, return code: 200, depth: 1
URL: http://www.wizards.com/default.asp?x=dnd/prc/20070829, time: 2013-02-17T20:22:40.637641, size: 36771 bytes, return code: 200, depth: 0
URL: http://cis.poly.edu/westlab/, time: 2013-02-17T20:22:45.538786, size: 9222 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Fuengirola, time: 2013-02-17T20:22:48.268196, size: 66376 bytes, return code: 200, depth: 1
URL: http://www.sueljewelry.com/intro.html, time: 2013-02-17T20:22:48.320529, size: 5813 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Category:Disambiguation_pages, time: 2013-02-17T20:22:51.424818, size: 180830 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Category:All_article_disambiguation_pages, time: 2013-02-17T20:22:51.686628, size: 134238 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/, time: 2013-02-17T20:22:52.208642, size: 28917 bytes, return code: 200, depth: 1
