Listing all pages crawled in BFS order for query: searchengines, for n: 500
URL: http://www.altavista.com/, time: 2013-02-17T20:42:07.103997, size: 15729 bytes, return code: 200, depth: 0
URL: http://www.dogpile.com/, time: 2013-02-17T20:42:07.329820, size: 21287 bytes, return code: 200, depth: 0
URL: https://www.ixquick.com/, time: 2013-02-17T20:42:07.329928, size: 26783 bytes, return code: 200, depth: 0
URL: http://en.wikipedia.org/wiki/List_of_search_engines, time: 2013-02-17T20:42:07.687251, size: 78530 bytes, return code: 200, depth: 0
URL: http://www.thesearchenginelist.com/, time: 2013-02-17T20:42:09.507979, size: 225324 bytes, return code: 200, depth: 0
URL: http://searchengineland.com/, time: 2013-02-17T20:42:10.649823, size: 114875 bytes, return code: 200, depth: 0
URL: http://www.bing.com/, time: 2013-02-17T20:42:13.199167, size: 38456 bytes, return code: 200, depth: 0
URL: http://en.wikipedia.org/wiki/Web_search_engine, time: 2013-02-17T20:42:17.286542, size: 125589 bytes, return code: 200, depth: 0
URL: http://searchenginewatch.com/, time: 2013-02-17T20:42:18.963528, size: 78335 bytes, return code: 200, depth: 0
URL: https://www.ixquick.com/eng/pics.html, time: 2013-02-17T20:42:19.221589, size: 15873 bytes, return code: 200, depth: 1
URL: http://www.dogpile.com/search/advancedsearch?qc=web, time: 2013-02-17T20:42:19.500951, size: 20454 bytes, return code: 200, depth: 1
URL: https://www.ixquick.com/eng/aboutixquick/, time: 2013-02-17T20:42:20.004361, size: 106493 bytes, return code: 200, depth: 1
URL: http://www.dogpile.com/dogpile_rss/web/megyn+kelly+pregnant, time: 2013-02-17T20:42:20.850568, size: 44512 bytes, return code: 200, depth: 1
URL: https://www.ixquick.com/eng/protect-privacy.html, time: 2013-02-17T20:42:21.120194, size: 142809 bytes, return code: 200, depth: 1
URL: http://www.dogpile.com/dogpile_rss/web/north+korean+threat, time: 2013-02-17T20:42:21.995012, size: 44315 bytes, return code: 200, depth: 1
