Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: http://www.poly.edu/, time: 2013-02-17T20:51:53.725617, size: 23045 bytes, return code: 200, depth: 0
URL: http://gonyupoly.com/, time: 2013-02-17T20:51:54.129818, size: 91213 bytes, return code: 200, depth: 0
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-nyu-2796, time: 2013-02-17T20:51:54.874679, size: 54566 bytes, return code: 200, depth: 0
URL: http://en.wikipedia.org/wiki/Polytechnic_Institute_of_New_York_University, time: 2013-02-17T20:51:55.776164, size: 300062 bytes, return code: 200, depth: 0
URL: http://collegeapps.about.com/od/collegeprofiles/p/nyu-poly-polytechnic-institute-of-new-york-university.htm, time: 2013-02-17T20:51:57.068342, size: 25030 bytes, return code: 200, depth: 0
URL: http://vimeo.com/nyupoly, time: 2013-02-17T20:51:57.247042, size: 37279 bytes, return code: 200, depth: 0
URL: https://twitter.com/nyupoly, time: 2013-02-17T20:51:57.677539, size: 215154 bytes, return code: 200, depth: 0
URL: http://www.poly.edu/admissions/graduate, time: 2013-02-17T20:52:00.284894, size: 28484 bytes, return code: 200, depth: 0
URL: http://www.poly.edu/alumni, time: 2013-02-17T20:52:01.168825, size: 27213 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/node/295, time: 2013-02-17T20:52:06.545001, size: 19869 bytes, return code: 200, depth: 1
URL: http://library.poly.edu, time: 2013-02-17T20:52:06.624323, size: 40693 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/sports/2011/8/9/GEN_0809114845.aspx?&tab=2, time: 2013-02-17T20:52:06.959352, size: 18151 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/sports/2011/8/9/GEN_0809115500.aspx?&tab=2, time: 2013-02-17T20:52:07.181379, size: 18207 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/16/WBB_0216130520.aspx?path=wbball, time: 2013-02-17T20:52:07.705303, size: 20850 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/13/MBB_0213132616.aspx, time: 2013-02-17T20:52:08.101495, size: 19827 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/7/MVB_0207133235.aspx, time: 2013-02-17T20:52:08.537524, size: 19875 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/2/MBB_0202130943.aspx, time: 2013-02-17T20:52:08.949160, size: 19963 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/1/30/MBB_0130135621.aspx, time: 2013-02-17T20:52:09.336531, size: 18537 bytes, return code: 200, depth: 1
URL: http://my.poly.edu, time: 2013-02-17T20:52:09.396036, size: 239 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/calendar.aspx?smallcal=true, time: 2013-02-17T20:52:09.649331, size: 19468 bytes, return code: 200, depth: 1
