Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: http://www.poly.edu/, time: 2013-02-17T21:00:58.360231, size: 23025 bytes, return code: 200, depth: 0
URL: http://collegeapps.about.com/od/collegeprofiles/p/nyu-poly-polytechnic-institute-of-new-york-university.htm, time: 2013-02-17T21:00:58.430292, size: 25060 bytes, return code: 200, depth: 0
URL: http://vimeo.com/nyupoly, time: 2013-02-17T21:00:58.977092, size: 37279 bytes, return code: 200, depth: 0
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-nyu-2796, time: 2013-02-17T21:00:59.196826, size: 54566 bytes, return code: 200, depth: 0
URL: http://gonyupoly.com/, time: 2013-02-17T21:00:59.262832, size: 91213 bytes, return code: 200, depth: 0
URL: https://twitter.com/nyupoly, time: 2013-02-17T21:01:01.052868, size: 215154 bytes, return code: 200, depth: 0
URL: http://en.wikipedia.org/wiki/Polytechnic_Institute_of_New_York_University, time: 2013-02-17T21:01:01.101822, size: 300062 bytes, return code: 200, depth: 0
Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: http://www.poly.edu/, time: 2013-02-17T21:01:48.944473, size: 23025 bytes, return code: 200, depth: 0
URL: http://vimeo.com/nyupoly, time: 2013-02-17T21:01:49.077085, size: 37279 bytes, return code: 200, depth: 0
URL: http://collegeapps.about.com/od/collegeprofiles/p/nyu-poly-polytechnic-institute-of-new-york-university.htm, time: 2013-02-17T21:01:49.108552, size: 25060 bytes, return code: 200, depth: 0
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-nyu-2796, time: 2013-02-17T21:01:49.370158, size: 54566 bytes, return code: 200, depth: 0
URL: http://gonyupoly.com/, time: 2013-02-17T21:01:49.558157, size: 91213 bytes, return code: 200, depth: 0
URL: http://en.wikipedia.org/wiki/Polytechnic_Institute_of_New_York_University, time: 2013-02-17T21:01:51.254420, size: 300062 bytes, return code: 200, depth: 0
URL: https://twitter.com/nyupoly, time: 2013-02-17T21:01:51.504957, size: 215154 bytes, return code: 200, depth: 0
URL: http://www.poly.edu/admissions/graduate, time: 2013-02-17T21:01:52.170465, size: 28401 bytes, return code: 200, depth: 0
URL: http://www.poly.edu/alumni, time: 2013-02-17T21:01:54.944290, size: 27130 bytes, return code: 200, depth: 1
