Listing all pages crawled in BFS order for query: fortran, for n: 500
URL: http://www.fortran.com/, time: 2013-02-15T11:05:01.685576, size: 7051 bytes, return code: 200, depth: 0
URL: http://www.engin.umd.umich.edu/CIS/course.des/cis400/fortran/fortran.html, time: 2013-02-15T11:05:08.043221, size: 10804 bytes, return code: 200, depth: 0
URL: http://gcc.gnu.org/fortran/, time: 2013-02-15T11:05:08.270926, size: 9022 bytes, return code: 200, depth: 0
URL: http://www.webopedia.com/TERM/F/FORTRAN.html, time: 2013-02-15T11:05:14.929623, size: 41394 bytes, return code: 200, depth: 0
URL: http://www.cs.mtu.edu/~shene/COURSES/cs201/NOTES/fortran.html, time: 2013-02-15T11:05:26.360505, size: 3159 bytes, return code: 200, depth: 0
URL: http://www.fortranstatement.com/, time: 2013-02-15T11:05:29.516630, size: 134 bytes, return code: 200, depth: 0
URL: http://www.personal.psu.edu/hdk/fortran.html, time: 2013-02-15T11:05:32.151562, size: 112371 bytes, return code: 200, depth: 0
URL: http://www.ibiblio.org/pub/languages/fortran/unfp.html, time: 2013-02-15T11:52:38.313456, size: 6881 bytes, return code: 200, depth: 0
URL: http://www.fortran.com/#content, time: 2013-02-15T11:55:35.014384, size: 7051 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=155, time: 2013-02-15T11:55:35.552454, size: 30077 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=10, time: 2013-02-15T11:55:36.326552, size: 12909 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=85, time: 2013-02-15T11:55:36.830019, size: 13332 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=97, time: 2013-02-15T11:55:37.430118, size: 12106 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=104, time: 2013-02-15T11:55:38.026336, size: 10511 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=115, time: 2013-02-15T11:55:38.569700, size: 11013 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=45, time: 2013-02-15T11:55:39.125928, size: 10794 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=146, time: 2013-02-15T11:55:39.640427, size: 10089 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=148, time: 2013-02-15T11:55:40.115558, size: 9508 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=151, time: 2013-02-15T11:55:40.607331, size: 23111 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?page_id=153, time: 2013-02-15T11:55:41.192260, size: 28689 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?m=201202, time: 2013-02-15T11:55:41.738806, size: 10784 bytes, return code: 200, depth: 1
URL: http://www.fortran.com/?m=201110, time: 2013-02-15T11:55:42.233516, size: 7674 bytes, return code: 200, depth: 1
URL: http://wordpress.org/, time: 2013-02-15T11:55:42.488256, size: 11920 bytes, return code: 200, depth: 1
URL: http://www.gnu.org/, time: 2013-02-15T11:55:46.042408, size: 18380 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/lists.html, time: 2013-02-15T11:55:54.230900, size: 14860 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/wiki/GFortran, time: 2013-02-15T11:55:57.312310, size: 91276 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/bugzilla/, time: 2013-02-15T11:56:03.162542, size: 14336 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/wiki/GFortran#news, time: 2013-02-15T11:56:07.628524, size: 91276 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/contribute.html, time: 2013-02-15T11:56:09.014229, size: 15762 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/svn.html, time: 2013-02-15T11:56:10.130795, size: 52847 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/snapshots.html, time: 2013-02-15T11:56:10.789161, size: 3750 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/wiki/GFortran#download, time: 2013-02-15T11:56:13.973774, size: 91276 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/onlinedocs/, time: 2013-02-15T11:56:14.442856, size: 46894 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/wiki/GFortranUsage, time: 2013-02-15T11:56:34.187720, size: 16828 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/wiki/GFortran#manuals, time: 2013-02-15T11:56:36.606715, size: 91276 bytes, return code: 200, depth: 1
URL: http://www.fsf.org, time: 2013-02-15T11:56:36.872302, size: 27816 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/about.html, time: 2013-02-15T11:56:37.018656, size: 2794 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/, time: 2013-02-15T11:56:38.091892, size: 42446 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/accountManagement?formType=registrationForm, time: 2013-02-15T11:56:38.676333, size: 25949 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/accountManagement?formType=loginForm, time: 2013-02-15T11:56:39.054282, size: 25933 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/totd.asp, time: 2013-02-15T11:56:39.454372, size: 45331 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/new_terms.asp, time: 2013-02-15T11:56:39.917557, size: 34186 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/DidYouKnow/_index.asp, time: 2013-02-15T11:56:40.439636, size: 74597 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/quick_ref/index.asp, time: 2013-02-15T11:56:41.141662, size: 87312 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/Top_Category.asp, time: 2013-02-15T11:56:41.722952, size: 67117 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/partner_programs.asp, time: 2013-02-15T11:56:42.179949, size: 41486 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/blog, time: 2013-02-15T11:56:42.675470, size: 54405 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/AboutUs.asp, time: 2013-02-15T11:56:43.149981, size: 27985 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/F/http%3A%2F%2Fwww.webopedia.com%2FTERM%2FF%2FFORTRAN.html, time: 2013-02-15T11:56:43.966494, size: 41395 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/_email/email_a_colleague.html, time: 2013-02-15T11:56:44.439037, size: 23900 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/H/high_level_language.html, time: 2013-02-15T11:56:44.842543, size: 42648 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/I/IBM.html, time: 2013-02-15T11:56:45.249021, size: 41402 bytes, return code: 200, depth: 1
URL: http://www.webopedia.com/TERM/A/application.html, time: 2013-02-15T11:56:45.768975, size: 44486 bytes, return code: 200, depth: 1
