Listing all pages crawled in BFS order for query: ruby, for n: 500
URL: http://www.ruby-lang.org/, time: 2013-02-15T11:04:13.775443, size: 11262 bytes, return code: 200, depth: 0
URL: http://www.ruby-lang.org/en/downloads/, time: 2013-02-15T11:04:55.031966, size: 17340 bytes, return code: 200, depth: 0
URL: http://rubyonrails.org/, time: 2013-02-15T11:10:43.573279, size: 11803 bytes, return code: 200, depth: 0
URL: http://ruby-doc.org/, time: 2013-02-15T11:13:31.319967, size: 12675 bytes, return code: 200, depth: 0
URL: http://www.ruby-doc.org/docs/ProgrammingRuby/, time: 2013-02-15T11:13:53.918784, size: 489 bytes, return code: 200, depth: 0
URL: http://tryruby.org/, time: 2013-02-15T11:13:55.097595, size: 13447 bytes, return code: 200, depth: 0
URL: http://rubykoans.com/, time: 2013-02-15T11:13:56.100607, size: 15272 bytes, return code: 200, depth: 0
URL: http://www.rubys.com/, time: 2013-02-15T11:14:15.877068, size: 7561 bytes, return code: 200, depth: 0
URL: http://www.ruby-lang.org/en/documentation/, time: 2013-02-15T11:14:16.787279, size: 12895 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/libraries/, time: 2013-02-15T11:17:11.547247, size: 11169 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/community/, time: 2013-02-15T11:18:17.571011, size: 9164 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/news/, time: 2013-02-15T11:18:44.398148, size: 10102 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/security/, time: 2013-02-15T11:19:25.108568, size: 10636 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/about/, time: 2013-02-15T11:20:46.065940, size: 16699 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/news/2013/02/08/ruby-2-0-0-rc2-is-released/, time: 2013-02-15T11:21:14.457910, size: 10588 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/news/2013/02/06/ruby-1-9-3-p385-is-released/, time: 2013-02-15T11:21:43.516588, size: 7272 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/news/2013/02/06/rdoc-xss-cve-2013-0256/, time: 2013-02-15T11:22:03.551045, size: 9068 bytes, return code: 200, depth: 1
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues?set_filter=1&status_id=5, time: 2013-02-15T11:22:26.088154, size: 71577 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/news/2013/01/23/confoo-with-ruby-in-montreal/, time: 2013-02-15T11:25:34.358960, size: 6487 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/news/2013/01/17/ruby-1-9-3-p374-is-released/, time: 2013-02-15T11:25:51.623792, size: 7558 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/news/2012/12/25/ruby-1-9-3-p362-is-released/, time: 2013-02-15T11:26:12.517760, size: 7520 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/news/2012/11/10/2013-fukuoka-ruby-award-competitionentries-to-be-judged-by-matz/, time: 2013-02-15T11:26:33.016013, size: 7550 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/news/2012/11/09/ruby-1-9-3-p327-is-released/, time: 2013-02-15T11:27:08.614758, size: 7195 bytes, return code: 200, depth: 1
URL: http://TryRuby.org, time: 2013-02-15T11:27:29.297701, size: 13447 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/documentation/quickstart/, time: 2013-02-15T11:27:30.242806, size: 15815 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/documentation/ruby-from-other-languages/, time: 2013-02-15T11:27:54.941767, size: 39746 bytes, return code: 200, depth: 1
URL: http://www.amazon.com/s/ref=sr_nr_n_5?ie=UTF8&rs=1000&keywords=Ruby&rh=i%3Aaps%2Ck%3ARuby%2Ci%3Astripbooks%2Cn%3A1000%2Cn%3A5, time: 2013-02-15T11:28:20.231459, size: 305919 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/documentation/success-stories/, time: 2013-02-15T11:28:35.792401, size: 10294 bytes, return code: 200, depth: 1
URL: http://www.ruby-lang.org/en/community/mailing-lists/, time: 2013-02-15T11:28:36.414747, size: 9071 bytes, return code: 200, depth: 1
URL: http://redmine.ruby-lang.org/, time: 2013-02-15T11:28:37.546017, size: 8738 bytes, return code: 200, depth: 1
URL: http://radiantcms.org, time: 2013-02-15T11:28:41.182443, size: 3948 bytes, return code: 200, depth: 1
URL: http://rubyidentity.org, time: 2013-02-15T11:28:46.817899, size: 4032 bytes, return code: 200, depth: 1
URL: http://git-scm.com/, time: 2013-02-15T11:28:48.235966, size: 7659 bytes, return code: 200, depth: 1
URL: https://rvm.io/rvm/install/, time: 2013-02-15T11:28:49.658659, size: 30865 bytes, return code: 200, depth: 1
URL: http://rubyinstaller.org/, time: 2013-02-15T11:28:49.838289, size: 7676 bytes, return code: 200, depth: 1
URL: http://rubyinstaller.org/downloads/, time: 2013-02-15T11:28:49.880875, size: 7947 bytes, return code: 200, depth: 1
URL: http://railsinstaller.org/, time: 2013-02-15T11:28:50.029536, size: 24323 bytes, return code: 200, depth: 1
URL: http://mxcl.github.com/homebrew/, time: 2013-02-15T11:30:06.507394, size: 7008 bytes, return code: 200, depth: 1
URL: http://hivelogic.com/articles/ruby-rails-mongrel-mysql-osx, time: 2013-02-15T11:30:06.924707, size: 26628 bytes, return code: 200, depth: 1
URL: http://hivelogic.com/articles/ruby-rails-leopard, time: 2013-02-15T11:30:07.248030, size: 16830 bytes, return code: 200, depth: 1
