Listing all pages crawled in BFS order for query: C, for n: 500
URL: http://finance.yahoo.com/q?s=C, time: 2013-02-15T11:03:58.087333, size: 99486 bytes, return code: 200, depth: 0
URL: http://www.google.com/finance?cid=662713, time: 2013-02-15T11:04:24.555133, size: 182509 bytes, return code: 200, depth: 0
URL: https://twitter.com/c, time: 2013-02-15T11:04:34.317228, size: 236604 bytes, return code: 200, depth: 0
URL: http://www.cprogramming.com/, time: 2013-02-15T11:07:02.430561, size: 25824 bytes, return code: 200, depth: 0
URL: http://www.marketwatch.com/investing/stock/c, time: 2013-02-15T11:07:41.018240, size: 133551 bytes, return code: 200, depth: 0
URL: http://www.cminusminus.org/, time: 2013-02-15T11:14:42.092738, size: 9502 bytes, return code: 200, depth: 0
URL: http://www.open-std.org/jtc1/sc22/wg14/, time: 2013-02-15T11:14:44.751793, size: 4986 bytes, return code: 200, depth: 0
URL: http://prc.aps.org/, time: 2013-02-15T11:15:01.020530, size: 154863 bytes, return code: 200, depth: 0
URL: http://finance.yahoo.com/q?s=C#yuhead-search, time: 2013-02-15T11:15:03.475215, size: 89526 bytes, return code: 200, depth: 1
URL: https://us.lrd.yahoo.com/_ylt=A0wNct9tXB5ROc4AFwAnv7gF/SIG=14iak6ffq/EXP=1362153837/**https%3A//edit.yahoo.com/config/eval_register%3F.src=quote%26.intl=us%26.lang=en-US%26.done=http%3A//finance.yahoo.com/q%253fs=C, time: 2013-02-15T11:15:05.049504, size: 53327 bytes, return code: 200, depth: 1
URL: https://login.yahoo.com/config/login;_ylt=A0wNct9tXB5ROc4AGAAnv7gF?.src=quote&.intl=us&.lang=en-US&.done=http://finance.yahoo.com/q%3fs=C, time: 2013-02-15T11:15:05.834732, size: 120946 bytes, return code: 200, depth: 1
URL: http://help.yahoo.com/l/us/yahoo/finance/;_ylt=A0wNct9tXB5ROc4AGQAnv7gF, time: 2013-02-15T11:15:07.711754, size: 48869 bytes, return code: 200, depth: 1
URL: http://help.yahoo.com/l/us/yahoo/comments/notifications;_ylt=A0wNct9tXB5ROc4AIgAnv7gF, time: 2013-02-15T11:15:08.444104, size: 34858 bytes, return code: 200, depth: 1
URL: http://my.yahoo.com/;_ylt=A0wNct9tXB5ROc4AJwAnv7gF, time: 2013-02-15T11:15:09.378578, size: 120901 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/;_ylt=A0wNct9tXB5ROc4AKQAnv7gF, time: 2013-02-15T11:15:10.377396, size: 309160 bytes, return code: 200, depth: 1
URL: http://news.yahoo.com, time: 2013-02-15T11:15:11.392772, size: 247943 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/, time: 2013-02-15T11:15:12.524139, size: 309977 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/marketupdate, time: 2013-02-15T11:15:12.935126, size: 53666 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/marketupdate/overview, time: 2013-02-15T11:15:13.485292, size: 64384 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/actives?e=us, time: 2013-02-15T11:15:13.993346, size: 71987 bytes, return code: 200, depth: 1
URL: http://biz.yahoo.com/r/, time: 2013-02-15T11:15:14.186100, size: 28054 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/funds/, time: 2013-02-15T11:15:16.027352, size: 137189 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/etf/, time: 2013-02-15T11:15:17.433538, size: 135214 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/bonds, time: 2013-02-15T11:15:17.907726, size: 41281 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/options/, time: 2013-02-15T11:15:19.243220, size: 140036 bytes, return code: 200, depth: 1
URL: http://biz.yahoo.com/ic/, time: 2013-02-15T11:15:19.653051, size: 46398 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/currency-investing, time: 2013-02-15T11:15:22.266440, size: 215138 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/education, time: 2013-02-15T11:15:22.956447, size: 46173 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/futures, time: 2013-02-15T11:15:23.546290, size: 55098 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/news/, time: 2013-02-15T11:15:25.308627, size: 210169 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/news/category-stocks/, time: 2013-02-15T11:15:26.360274, size: 179842 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/news/category-ideas-and-strategies/, time: 2013-02-15T11:15:27.820709, size: 174245 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/special-editions/, time: 2013-02-15T11:15:29.141225, size: 121268 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/news/category-earnings/, time: 2013-02-15T11:15:30.377031, size: 180405 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/news/rssindex/, time: 2013-02-15T11:15:31.342252, size: 240348 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/video/, time: 2013-02-15T11:15:33.507304, size: 300204 bytes, return code: 200, depth: 1
URL: http://financiallyfit.yahoo.com/finance/, time: 2013-02-15T11:15:38.342495, size: 352979 bytes, return code: 200, depth: 1
URL: http://finance.search.yahoo.com?fr=fin-v1, time: 2013-02-15T11:15:46.259628, size: 13228 bytes, return code: 200, depth: 1
URL: http://us.rd.yahoo.com/finance/external/pssa/SIG=137b5uf9q/*http://seekingalpha.com/article/1187441-tracking-bruce-berkowitz-s-fairholme-portfolio-q4-2012-update?source=yahoo, time: 2013-02-15T11:15:50.523998, size: 54365 bytes, return code: 200, depth: 1
URL: http://us.rd.yahoo.com/finance/external/reuters/SIG=12nlo1s3j/*http://www.reuters.com/article/2013/02/15/us-mapletree-reit-ipo-idUSBRE91E0B520130215?feedType=RSS&feedName=innovationNews&rpc=43, time: 2013-02-15T11:16:05.326368, size: 98543 bytes, return code: 200, depth: 1
URL: http://us.rd.yahoo.com/finance/external/reuters/SIG=12kphc48d/*http://www.reuters.com/article/2013/02/15/mapletree-reit-ipo-idUSL4N0BF1ZA20130215?feedType=RSS&feedName=industrialsSector&rpc=43, time: 2013-02-15T11:16:06.925692, size: 101620 bytes, return code: 200, depth: 1
URL: http://us.rd.yahoo.com/finance/external/wsj/SIG=13je3v4jk/*http://blogs.wsj.com/deals/2013/02/14/soros-reports-higher-stakes-in-citigroup-j-p-morgan-cuts-facebook-linkedin/?mod=yahoo_hs, time: 2013-02-15T11:16:07.693858, size: 61600 bytes, return code: 200, depth: 1
URL: http://us.rd.yahoo.com/finance/external/reuters/SIG=12k7hctr6/*http://www.reuters.com/article/2013/02/15/us-sac-redemptions-idUSBRE91D1D320130215?feedType=RSS&feedName=PersonalFinance&rpc=43, time: 2013-02-15T11:18:00.440563, size: 101167 bytes, return code: 200, depth: 1
URL: http://us.rd.yahoo.com/finance/external/reuters/SIG=12htnsp1p/*http://www.reuters.com/article/2013/02/15/sac-redemptions-idUSL1N0BEBMN20130215?feedType=RSS&feedName=privateEquity&rpc=43, time: 2013-02-15T11:18:00.693872, size: 102332 bytes, return code: 200, depth: 1
URL: http://add.my.yahoo.com/add/module?url=http://finance.yahoo.com/rss/headline%3Fs=C&lg=us, time: 2013-02-15T11:18:02.549355, size: 120942 bytes, return code: 200, depth: 1
URL: http://reports.finance.yahoo.com/w0?r=37517405:1, time: 2013-02-15T11:18:04.023360, size: 25237 bytes, return code: 200, depth: 1
URL: http://reports.finance.yahoo.com/w0?r=50217144:1, time: 2013-02-15T11:18:04.812200, size: 24965 bytes, return code: 200, depth: 1
URL: http://reports.finance.yahoo.com/w0?r=35606140:1, time: 2013-02-15T11:18:04.966549, size: 25382 bytes, return code: 200, depth: 1
URL: http://edit.finance.yahoo.com/e5b?.vk=s&amp;.intl=us&amp;.done=http://finance.yahoo.com/q?s=C, time: 2013-02-15T11:18:05.941928, size: 121871 bytes, return code: 200, depth: 1
URL: http://biz.yahoo.com/p/4conameu.html, time: 2013-02-15T11:18:15.429684, size: 56437 bytes, return code: 200, depth: 1
URL: http://biz.yahoo.com/ic/410.html, time: 2013-02-15T11:18:17.553924, size: 66603 bytes, return code: 200, depth: 1
URL: http://yahoo.ar.wilink.com/?ticker=C&mkt_code=YAHSUMQTA, time: 2013-02-15T11:18:19.475890, size: 10244 bytes, return code: 200, depth: 1
URL: http://mobile.yahoo.com/finance, time: 2013-02-15T11:18:20.060267, size: 47930 bytes, return code: 200, depth: 1
URL: http://feedback.help.yahoo.com/feedback.php?.src=FINANCE&.from=tickertape&.done=http://finance.yahoo.com/q?s=C, time: 2013-02-15T11:18:20.513461, size: 2983 bytes, return code: 200, depth: 1
URL: http://help.yahoo.com/l/us/yahoo/finance/quotes/fitadelay.html, time: 2013-02-15T11:18:21.942708, size: 59859 bytes, return code: 200, depth: 1
URL: http://www.capitaliq.com, time: 2013-02-15T11:18:22.834295, size: 46111 bytes, return code: 200, depth: 1
URL: http://www.csidata.com, time: 2013-02-15T11:18:24.967204, size: 43714 bytes, return code: 200, depth: 1
URL: http://www.morningstar.com/, time: 2013-02-15T11:18:25.476850, size: 6817 bytes, return code: 200, depth: 1
URL: http://batstrading.com, time: 2013-02-15T11:18:25.646567, size: 36909 bytes, return code: 200, depth: 1
URL: http://www.edgar-online.com/, time: 2013-02-15T11:18:26.002637, size: 37786 bytes, return code: 200, depth: 1
URL: http://thomsonreuters.com/, time: 2013-02-15T11:18:26.338705, size: 33579 bytes, return code: 200, depth: 1
URL: http://help.yahoo.com/l/us/yahoo/finance/quotes/quotelookup.html, time: 2013-02-15T11:18:27.386314, size: 36094 bytes, return code: 200, depth: 1
URL: http://www.google.com/intl/en/options/?tab=ez, time: 2013-02-15T11:18:27.945274, size: 94 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance/?hl=en&tab=ee, time: 2013-02-15T11:18:29.127978, size: 121662 bytes, return code: 200, depth: 1
URL: https://www.google.com/accounts/ServiceLogin?service=finance&passive=1209600&continue=http://www.google.com/finance?cid%3D662713&followup=http://www.google.com/finance?cid%3D662713, time: 2013-02-15T11:18:29.898160, size: 71124 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance/?ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:31.806453, size: 121447 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance/company_news?q=NYSE:C&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:35.412742, size: 95934 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance/option_chain?q=NYSE:C&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:36.157689, size: 97386 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance/related?q=NYSE:C&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:36.632724, size: 82753 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance/historical?q=NYSE:C&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:37.121686, size: 88053 bytes, return code: 200, depth: 1
