Listing all pages crawled in BFS order for query: python, for n: 500
URL: http://www.python.org/, time: 2013-02-15T11:01:06.372173, size: 21725 bytes, return code: 200, depth: 0
URL: http://www.python.org/getit/, time: 2013-02-15T11:01:32.684677, size: 22933 bytes, return code: 200, depth: 0
URL: http://docs.python.org/tutorial/, time: 2013-02-15T11:01:55.417772, size: 25050 bytes, return code: 200, depth: 0
URL: http://www.codecademy.com/tracks/python, time: 2013-02-15T11:02:07.118404, size: 37477 bytes, return code: 200, depth: 0
URL: https://developers.google.com/edu/python/, time: 2013-02-15T11:02:28.522257, size: 19056 bytes, return code: 200, depth: 0
URL: http://www.pythoncarsecurity.com/, time: 2013-02-15T11:02:42.626931, size: 24412 bytes, return code: 200, depth: 0
URL: http://learnpythonthehardway.org/, time: 2013-02-15T11:02:45.270554, size: 6430 bytes, return code: 200, depth: 0
URL: http://xkcd.com/353/, time: 2013-02-15T11:02:53.562176, size: 7071 bytes, return code: 200, depth: 0
URL: http://www.python.org/#left-hand-navigation, time: 2013-02-15T11:02:57.480962, size: 21725 bytes, return code: 200, depth: 1
URL: http://www.python.org/#content-body, time: 2013-02-15T11:03:14.554505, size: 21725 bytes, return code: 200, depth: 1
URL: http://www.python.org/search, time: 2013-02-15T11:03:31.499738, size: 12912 bytes, return code: 200, depth: 1
URL: http://www.python.org/about/, time: 2013-02-15T11:03:37.154477, size: 17601 bytes, return code: 200, depth: 1
URL: http://www.python.org/news/, time: 2013-02-15T11:03:52.418896, size: 18569 bytes, return code: 200, depth: 1
URL: http://www.python.org/doc/, time: 2013-02-15T11:04:30.883261, size: 16701 bytes, return code: 200, depth: 1
URL: http://www.python.org/download/, time: 2013-02-15T11:04:58.286184, size: 22933 bytes, return code: 200, depth: 1
URL: http://www.python.org/community/, time: 2013-02-15T11:05:19.884769, size: 13610 bytes, return code: 200, depth: 1
URL: http://www.python.org/psf/, time: 2013-02-15T11:05:38.582732, size: 25357 bytes, return code: 200, depth: 1
URL: http://docs.python.org/devguide/, time: 2013-02-15T11:06:39.897039, size: 43839 bytes, return code: 200, depth: 1
URL: http://www.python.org/about/help/, time: 2013-02-15T11:07:08.408426, size: 16742 bytes, return code: 200, depth: 1
URL: http://pypi.python.org/pypi, time: 2013-02-15T11:07:41.174839, size: 22342 bytes, return code: 200, depth: 1
URL: http://docs.python.org/2/, time: 2013-02-15T11:07:52.716620, size: 8998 bytes, return code: 200, depth: 1
URL: http://docs.python.org/3/, time: 2013-02-15T11:08:12.570310, size: 9006 bytes, return code: 200, depth: 1
URL: http://www.python.org/community/jobs/, time: 2013-02-15T11:08:24.384395, size: 251002 bytes, return code: 200, depth: 1
URL: http://www.python.org/community/merchandise/, time: 2013-02-15T11:08:54.010572, size: 12525 bytes, return code: 200, depth: 1
URL: http://wiki.python.org/moin/, time: 2013-02-15T11:08:54.417290, size: 19330 bytes, return code: 200, depth: 1
