Listing all pages crawled in BFS order for query: holiday, for n: 500
URL: http://www.opm.gov/operating_status_schedules/fedhol/, time: 2013-02-15T11:00:26.863319, size: 87905 bytes, return code: 200, depth: 0
URL: http://www.holidaystationstores.com/, time: 2013-02-15T11:00:37.501483, size: 12358 bytes, return code: 200, depth: 0
URL: http://www.merriam-webster.com/dictionary/holiday, time: 2013-02-15T11:00:42.558588, size: 87042 bytes, return code: 200, depth: 0
URL: http://www.holidayinn.com/, time: 2013-02-15T11:00:59.086936, size: 125929 bytes, return code: 200, depth: 0
URL: http://www.usa.gov/citizens/holidays.shtml, time: 2013-02-15T11:00:59.349952, size: 38450 bytes, return code: 200, depth: 0
URL: http://www.youtube.com/watch?v=0X7RyGBq2E8, time: 2013-02-15T11:00:59.837198, size: 191518 bytes, return code: 200, depth: 0
URL: http://www.holidayvalley.com/, time: 2013-02-15T11:01:00.273025, size: 37263 bytes, return code: 200, depth: 0
URL: http://www.opm.gov/operating_status_schedules/fedhol/#content, time: 2013-02-15T11:01:00.708993, size: 87905 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/policy-data-oversight/snow-dismissal-procedures/federal-holidays/?ShowValidationPopups=true, time: 2013-02-15T11:01:00.940648, size: 87905 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/leaving/index.aspx?link=http://www.facebook.com/USOPM, time: 2013-02-15T11:01:01.172114, size: 84085 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/leaving/index.aspx?link=http://twitter.com/USOPM, time: 2013-02-15T11:01:01.347133, size: 83084 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/a-z-index/, time: 2013-02-15T11:01:01.480896, size: 97204 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/contact-us/, time: 2013-02-15T11:01:01.637500, size: 55178 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/forms/, time: 2013-02-15T11:01:01.788268, size: 44643 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/FAQs/, time: 2013-02-15T11:01:02.304780, size: 98346 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/policy-data-oversight/snow-dismissal-procedures/current-status/, time: 2013-02-15T11:01:02.656065, size: 69609 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/, time: 2013-02-15T11:01:02.852416, size: 62151 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/, time: 2013-02-15T11:01:03.054737, size: 52831 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/our-director/, time: 2013-02-15T11:01:03.217583, size: 49379 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/our-inspector-general/, time: 2013-02-15T11:01:03.370875, size: 49967 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/our-mission-role-history/, time: 2013-02-15T11:01:03.529075, size: 50627 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/our-people-organization/, time: 2013-02-15T11:01:03.648677, size: 51190 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/careers-at-opm/, time: 2013-02-15T11:01:03.795920, size: 50452 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/doing-business-with-opm/, time: 2013-02-15T11:01:03.898380, size: 50329 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/budget-performance/, time: 2013-02-15T11:01:04.074208, size: 51166 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/our-ombudsman/, time: 2013-02-15T11:01:04.203592, size: 51961 bytes, return code: 200, depth: 1
URL: http://www.opm.gov/about-us/open-government/, time: 2013-02-15T11:01:04.305013, size: 52934 bytes, return code: 200, depth: 1
URL: http://www.leadership.opm.gov/, time: 2013-02-15T11:01:05.042360, size: 78266 bytes, return code: 200, depth: 1
URL: http://www.leadership.opm.gov/fei/index.aspx, time: 2013-02-15T11:03:48.807570, size: 69226 bytes, return code: 200, depth: 1
URL: http://www.feb.gov, time: 2013-02-15T11:03:49.061829, size: 16451 bytes, return code: 200, depth: 1
URL: http://leadership.opm.gov/fei/index.aspx, time: 2013-02-15T11:03:50.308492, size: 69226 bytes, return code: 200, depth: 1
URL: http://www.chcoc.gov/transmittals/index.aspx, time: 2013-02-15T11:06:30.929163, size: 29658 bytes, return code: 200, depth: 1
URL: https://www.federalregister.gov/agencies/personnel-management-office, time: 2013-02-15T11:06:31.650168, size: 135664 bytes, return code: 200, depth: 1
URL: http://federalrelay.us/, time: 2013-02-15T11:06:32.323489, size: 9440 bytes, return code: 200, depth: 1
URL: http://www.usoge.gov, time: 2013-02-15T11:06:36.985852, size: 27505 bytes, return code: 200, depth: 1
URL: http://www.usa.gov/, time: 2013-02-15T11:08:34.923413, size: 30945 bytes, return code: 200, depth: 1
URL: http://www.holidaystationstores.com/coffee, time: 2013-02-15T11:08:53.066903, size: 13475 bytes, return code: 200, depth: 1
URL: https://mycheckfree.com/br/wps?rq=bftl&esc=3440567&sp=10001, time: 2013-02-15T11:08:53.388571, size: 11280 bytes, return code: 200, depth: 1
