Listing all pages crawled in BFS order for query: love, for n: 500
URL: http://www.merriam-webster.com/dictionary/love, time: 2013-02-15T10:59:56.523225, size: 94902 bytes, return code: 200, depth: 0
URL: http://www.lovecalculator.com/, time: 2013-02-15T11:00:16.063538, size: 5243 bytes, return code: 200, depth: 0
URL: http://www.goodreads.com/quotes/tag/love, time: 2013-02-15T11:00:51.466163, size: 56030 bytes, return code: 200, depth: 0
URL: http://www.yourtango.com/love, time: 2013-02-15T11:01:44.110579, size: 70526 bytes, return code: 200, depth: 0
URL: http://www.thelovemagazine.co.uk/, time: 2013-02-15T11:01:44.469570, size: 4508 bytes, return code: 200, depth: 0
URL: http://www.youtube.com/watch?v=2GmVajkqLNU, time: 2013-02-15T11:01:45.170061, size: 181147 bytes, return code: 200, depth: 0
URL: https://twitter.com/search?q=%23love, time: 2013-02-15T11:01:50.012283, size: 238337 bytes, return code: 200, depth: 0
URL: http://www.merriam-webster.com/, time: 2013-02-15T11:03:24.287519, size: 37284 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/game/index.htm, time: 2013-02-15T11:03:24.424770, size: 46309 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/word-of-the-day/, time: 2013-02-15T11:03:24.539856, size: 34782 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/video/index.htm, time: 2013-02-15T11:03:24.687338, size: 46958 bytes, return code: 200, depth: 1
URL: http://nws.merriam-webster.com/opendictionary/, time: 2013-02-15T11:03:24.816604, size: 24483 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love[1], time: 2013-02-15T11:03:25.062373, size: 87913 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love affair, time: 2013-02-15T11:03:25.359323, size: 95041 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love apple, time: 2013-02-15T11:03:27.731704, size: 94971 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love arrow, time: 2013-02-15T11:03:28.016301, size: 94918 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love beads, time: 2013-02-15T11:03:28.312069, size: 94998 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love child, time: 2013-02-15T11:03:28.602719, size: 94937 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love dart, time: 2013-02-15T11:03:28.878394, size: 94909 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love-entangle, time: 2013-02-15T11:03:29.187803, size: 63749 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love feast, time: 2013-02-15T11:03:29.503904, size: 94902 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love game, time: 2013-02-15T11:03:29.785110, size: 95054 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love god, time: 2013-02-15T11:03:30.063602, size: 94998 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love grass, time: 2013-02-15T11:03:30.403224, size: 94921 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love handles, time: 2013-02-15T11:03:30.693280, size: 94971 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love-in, time: 2013-02-15T11:03:30.936528, size: 62778 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love-in-a-mist, time: 2013-02-15T11:03:31.181808, size: 62408 bytes, return code: 200, depth: 1
URL: http://www.merriam-webster.com/dictionary/love-in-idleness, time: 2013-02-15T11:03:31.408052, size: 63224 bytes, return code: 200, depth: 1
URL: http://www.learnersdictionary.com/search/love[1], time: 2013-02-15T11:03:31.572596, size: 30630 bytes, return code: 200, depth: 1
URL: http://www.wordcentral.com/cgi-bin/student?book=Student&va=love, time: 2013-02-15T11:03:35.991735, size: 6989 bytes, return code: 200, depth: 1
URL: http://www.learnersdictionary.com/search/love[2], time: 2013-02-15T11:03:36.866026, size: 24310 bytes, return code: 200, depth: 1
URL: http://www.adobe.com/go/getflashplayer, time: 2013-02-15T11:03:42.321084, size: 60901 bytes, return code: 200, depth: 1
URL: http://itunes.apple.com/us/app/merriam-webster-dictionary/id399452287?mt=8, time: 2013-02-15T11:04:12.586959, size: 43348 bytes, return code: 200, depth: 1
URL: http://itunes.apple.com/us/app/merriam-webster-dictionary/id438477986?mt=8, time: 2013-02-15T11:04:25.989152, size: 43458 bytes, return code: 200, depth: 1
URL: http://twitter.com/merriamwebster, time: 2013-02-15T11:04:31.742644, size: 209304 bytes, return code: 200, depth: 1
URL: http://www.learnersdictionary.com/, time: 2013-02-15T11:04:34.646942, size: 19846 bytes, return code: 200, depth: 1
URL: http://www.wordcentral.com/, time: 2013-02-15T11:04:34.738064, size: 6835 bytes, return code: 200, depth: 1
URL: http://visual.merriam-webster.com/, time: 2013-02-15T11:04:35.524982, size: 24030 bytes, return code: 200, depth: 1
URL: http://www.dictionaryapi.com/, time: 2013-02-15T11:04:39.433753, size: 15070 bytes, return code: 200, depth: 1
URL: http://www.lovecalculator.com/about.html, time: 2013-02-15T11:04:40.726941, size: 7565 bytes, return code: 200, depth: 1
URL: http://www.lovecalculator.com/links.html, time: 2013-02-15T11:04:46.192393, size: 2901 bytes, return code: 200, depth: 1
URL: http://www.cooltests.com/, time: 2013-02-15T11:04:47.684249, size: 24490 bytes, return code: 200, depth: 1
URL: http://www.lovepoemsandquotes.com/, time: 2013-02-15T11:04:47.907033, size: 21488 bytes, return code: 200, depth: 1
URL: http://www.spreadfirefox.com/?q=affiliates&id=100832&t=82, time: 2013-02-15T11:04:49.078603, size: 11939 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/user/new, time: 2013-02-15T11:04:49.484734, size: 10164 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/about/how_it_works, time: 2013-02-15T11:04:49.928840, size: 17206 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/user/sign_in?returnurl=%2Fquotes%2Ftag%2Flove, time: 2013-02-15T11:04:50.217125, size: 8751 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/, time: 2013-02-15T11:04:50.670734, size: 44193 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/review/list, time: 2013-02-15T11:04:51.476000, size: 10164 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/friend, time: 2013-02-15T11:04:53.152921, size: 10164 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/recommendations, time: 2013-02-15T11:04:53.862704, size: 8073 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/genres, time: 2013-02-15T11:04:56.128709, size: 166683 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/list, time: 2013-02-15T11:04:57.235877, size: 37362 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/giveaway, time: 2013-02-15T11:05:00.610595, size: 175915 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/book/popular_by_date/2013/2, time: 2013-02-15T11:05:07.412470, size: 883481 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/voice, time: 2013-02-15T11:05:09.237486, size: 67917 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/ebooks, time: 2013-02-15T11:05:10.902651, size: 85373 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/trivia, time: 2013-02-15T11:05:11.472499, size: 23811 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/quizzes, time: 2013-02-15T11:05:12.473722, size: 55536 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/quotes, time: 2013-02-15T11:05:15.688750, size: 74798 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/group, time: 2013-02-15T11:05:16.208705, size: 56994 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/story, time: 2013-02-15T11:05:16.826676, size: 32916 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/user/online_now, time: 2013-02-15T11:05:17.411538, size: 10164 bytes, return code: 200, depth: 1
URL: http://www.goodreads.com/event, time: 2013-02-15T11:05:18.010812, size: 24694 bytes, return code: 200, depth: 1
URL: http://www.yourtango.com/user/login, time: 2013-02-15T11:05:18.886427, size: 28218 bytes, return code: 200, depth: 1
URL: http://www.yourtango.com/user/register, time: 2013-02-15T11:05:19.296231, size: 50771 bytes, return code: 200, depth: 1
URL: http://thelovemagazine.co.uk/main.php, time: 2013-02-15T11:05:19.672978, size: 8136 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/, time: 2013-02-15T11:05:24.593163, size: 102207 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/upload, time: 2013-02-15T11:05:37.827568, size: 75357 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/music?feature=guide, time: 2013-02-15T11:05:39.678371, size: 285008 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/sports?feature=guide, time: 2013-02-15T11:05:49.326902, size: 278265 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/gaming?feature=guide, time: 2013-02-15T11:05:50.350570, size: 255825 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/movies?feature=guide, time: 2013-02-15T11:05:52.141440, size: 569858 bytes, return code: 200, depth: 1
