Listing all pages crawled in BFS order for query: happyhourmanhatton, for n: 30
number of files: 0, total size: 0.0 MB, total time: 3.6e-05 seconds, number of 404 errors: 0
Listing all pages crawled in BFS order for query: happy, for n: 30
URL: http://www.thehappymovie.com/, time: 2013-02-15T14:43:14.585147, size: 23459 bytes, return code: 200, depth: 0
URL: http://thesaurus.com/browse/happy, time: 2013-02-15T14:43:24.693906, size: 85609 bytes, return code: 200, depth: 0
URL: http://www.merriam-webster.com/dictionary/happy, time: 2013-02-15T14:43:27.384453, size: 75735 bytes, return code: 200, depth: 0
URL: http://www.totaljerkface.com/, time: 2013-02-15T14:43:27.505983, size: 22482 bytes, return code: 200, depth: 0
URL: http://www.totaljerkface.com/happy_wheels.php, time: 2013-02-15T14:43:27.592236, size: 8867 bytes, return code: 200, depth: 0
URL: http://dictionary.reference.com/browse/happy, time: 2013-02-15T14:43:28.041772, size: 78377 bytes, return code: 200, depth: 0
URL: http://www.mayoclinic.com/health/how-to-be-happy/MY01357, time: 2013-02-15T14:43:32.965648, size: 42045 bytes, return code: 200, depth: 0
URL: https://twitter.com/search?q=%23happy, time: 2013-02-15T14:43:35.153870, size: 252769 bytes, return code: 200, depth: 0
URL: http://www.wikihow.com/Be-Happy, time: 2013-02-15T14:43:35.688573, size: 84258 bytes, return code: 200, depth: 0
URL: http://www.twitter.com/thehappymovie/, time: 2013-02-15T14:43:36.809247, size: 219150 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/join-the-happy-movement/, time: 2013-02-15T14:43:37.530460, size: 39126 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/film/, time: 2013-02-15T14:43:38.067366, size: 32553 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/screenings/, time: 2013-02-15T14:43:38.796170, size: 26776 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/get-involved/, time: 2013-02-15T14:43:39.526409, size: 24197 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/blog/, time: 2013-02-15T14:43:40.330061, size: 30587 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/press/, time: 2013-02-15T14:43:41.050421, size: 44544 bytes, return code: 200, depth: 1
URL: http://store.thehappymovie.com/us-canada/, time: 2013-02-15T14:43:41.555774, size: 24773 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/screenings/host-a-happy-screening/, time: 2013-02-15T14:43:42.133507, size: 20056 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/store/, time: 2013-02-15T14:43:43.121178, size: 24773 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/blog/spotlight-on-michael-pritchard/, time: 2013-02-15T14:43:43.705951, size: 21704 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/blog/bring-happy-to-campus-educational-edition-now-available/, time: 2013-02-15T14:43:44.215797, size: 20748 bytes, return code: 200, depth: 1
URL: http://www.thehappymovie.com/blog/happy-in-australia/, time: 2013-02-15T14:43:44.743145, size: 21356 bytes, return code: 200, depth: 1
URL: http://coalitiontechnologies.com, time: 2013-02-15T14:43:45.602485, size: 38583 bytes, return code: 200, depth: 1
URL: http://app.dictionary.com/favorites, time: 2013-02-15T14:43:45.932976, size: 16164 bytes, return code: 200, depth: 1
URL: http://dynamo.dictionary.com/?mp_source=ihzyvr, time: 2013-02-15T14:43:46.385694, size: 41573 bytes, return code: 200, depth: 1
URL: http://quotes.dictionary.com/, time: 2013-02-15T14:43:46.799795, size: 25967 bytes, return code: 200, depth: 1
URL: http://www.reference.com/browse/happy, time: 2013-02-15T14:43:47.526040, size: 66949 bytes, return code: 200, depth: 1
URL: http://translate.reference.com/translate?query=happy, time: 2013-02-15T14:43:47.646760, size: 59024 bytes, return code: 200, depth: 1
URL: http://spanish.dictionary.com/, time: 2013-02-15T14:43:48.164669, size: 46654 bytes, return code: 200, depth: 1
URL: http://app.dictionary.com/login/core?source=header_thes&logindest=, time: 2013-02-15T14:43:48.386902, size: 16092 bytes, return code: 200, depth: 1
number of files: 30, total size: 1.534950 MB, total time: 34.280235 seconds, number of 404 errors: 0
Listing all pages crawled in BFS order for query: happy, for n: 30
URL: http://www.thehappymovie.com/, time: 2013-02-15T14:50:27.530557, size: 23459 bytes, return code: 200, depth: 0
URL: http://thesaurus.com/browse/happy, time: 2013-02-15T14:50:29.994188, size: 85615 bytes, return code: 200, depth: 0
URL: http://www.totaljerkface.com/, time: 2013-02-15T14:50:31.620545, size: 22482 bytes, return code: 200, depth: 0
URL: http://www.totaljerkface.com/happy_wheels.php, time: 2013-02-15T14:50:36.590190, size: 8867 bytes, return code: 200, depth: 0
URL: http://www.wikihow.com/Be-Happy, time: 2013-02-15T14:50:38.449294, size: 84198 bytes, return code: 200, depth: 0
